ticker,category,date,price,volume_ratio,price_change_pct,fwd_5d_pct,base_5d_pct,excess_5d_pct,fwd_10d_pct,base_10d_pct,excess_10d_pct,fwd_20d_pct,base_20d_pct,excess_20d_pct,fwd_30d_pct,base_30d_pct,excess_30d_pct,market_cap_busd,size_bucket,persistence_days,persistence_bucket
CIEN,Networking and Optics,2026-02-06,271.32,1.95,18.4,12.02,1.71,10.31,27.1,1.56,25.54,17.4,-1.86,19.26,50.34,1.84,48.5,38.40613879704,3. $10B - $50B,1,1. brief (1-2 days)
FN,Networking and Optics,2024-08-27,246.34,1.54,13.1,-8.59,-7.04,-1.55,-11.97,-4.63,-7.33,-7.6,6.44,-14.04,2.72,10.2,-7.48,8.827560397760001,2. $2B - $10B,1,1. brief (1-2 days)
FN,Networking and Optics,2024-09-20,231.56,2.23,9.9,3.55,5.4,-1.86,4.88,5.46,-0.58,4.95,10.05,-5.1,4.74,8.47,-3.73,8.29792110784,2. $2B - $10B,1,1. brief (1-2 days)
FN,Networking and Optics,2025-08-28,355.05,1.88,10.2,4.22,-0.17,4.39,0.83,9.3,-8.46,1.08,12.8,-11.71,1.94,22.3,-20.36,12.7231684632,3. $10B - $50B,1,1. brief (1-2 days)
FN,Networking and Optics,2026-02-06,503.99,1.51,7.9,-1.67,1.71,-3.38,14.43,1.56,12.87,4.67,-1.86,6.53,8.43,1.84,6.59,18.060413107360002,3. $10B - $50B,1,1. brief (1-2 days)
FN,Networking and Optics,2026-05-13,696.07,1.54,8.2,-4.86,-4.5,-0.37,-4.04,5.7,-9.74,-16.35,5.8,-22.15,-24.61,6.5,-31.11,24.94357378448,3. $10B - $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2024-01-31,30.87,1.55,8.8,-2.15,2.99,-5.15,-2.28,11.3,-13.57,0.09,12.97,-12.88,1.0,13.7,-12.71,26.59105777797,3. $10B - $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2024-06-18,38.83,1.58,8.6,-4.8,-3.01,-1.79,-4.45,0.57,-5.02,11.89,0.04,11.85,-0.42,-7.41,6.98,33.44770889273,3. $10B - $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2024-07-08,41.57,1.73,7.5,6.3,3.48,2.81,2.93,-0.09,3.02,-12.29,-16.28,3.99,-5.67,-5.95,0.28,35.807912919669995,3. $10B - $50B,5,2. building (3-5 days)
GLW,Networking and Optics,2025-02-10,51.88,1.64,7.1,-0.3,0.71,-1.01,-6.37,-11.89,5.52,-14.86,-20.62,5.77,-7.12,-14.6,7.48,44.688826612279996,3. $10B - $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2025-07-31,62.56,1.56,16.7,2.4,-0.35,2.75,3.98,2.46,1.52,9.0,7.5,1.5,22.32,18.73,3.58,53.88845398736,4. over $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2025-09-05,70.71,1.59,10.2,8.22,9.51,-1.29,11.76,15.58,-3.82,17.38,22.76,-5.38,18.68,28.07,-9.39,60.90876888501,4. over $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2025-09-19,79.02,2.21,11.8,-0.26,-2.13,1.87,5.03,5.43,-0.4,6.2,9.2,-3.0,11.97,18.33,-6.37,68.06690591562,4. over $50B,11,4. very persistent (10+ days)
GLW,Networking and Optics,2026-01-29,102.65,1.55,14.2,9.5,-6.91,16.42,27.67,0.6,27.07,46.27,3.01,43.26,25.59,-1.04,26.63,88.42151217715,4. over $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2026-02-12,131.05,1.97,27.7,6.09,2.13,3.96,14.57,2.15,12.42,-1.63,-1.26,-0.37,4.23,-2.39,6.62,112.88494077755,4. over $50B,11,4. very persistent (10+ days)
GLW,Networking and Optics,2026-02-27,150.15,2.06,14.6,-18.01,-7.59,-10.42,-14.14,-3.36,-10.77,-9.02,-4.74,-4.28,16.48,16.06,0.43,129.33745789965002,4. over $50B,14,4. very persistent (10+ days)
GLW,Networking and Optics,2026-05-11,207.07,1.53,23.4,-13.91,-6.32,-7.59,-5.41,4.95,-10.36,-16.0,4.92,-20.92,-0.6,9.79,-10.39,178.36768170016998,4. over $50B,1,1. brief (1-2 days)
GLW,Networking and Optics,2026-06-26,221.05,1.56,25.2,-11.88,-3.03,-8.85,-17.16,-6.73,-10.43,-35.15,-12.84,-22.31,-28.63,-9.35,-19.28,190.40989056755,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2023-12-21,84.68,1.55,16.1,-0.03,1.49,-1.52,-0.49,0.43,-0.91,2.54,0.96,1.58,-0.9,4.85,-5.75,95.63701202668001,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2024-03-21,108.96,1.81,11.0,7.42,1.52,5.9,12.61,0.23,12.38,-2.71,-8.94,6.23,4.52,-3.11,7.63,123.05867773295999,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2024-04-05,122.7,2.13,12.6,-0.86,-4.85,4.0,-13.6,-8.95,-4.65,-7.19,-2.84,-4.35,1.38,5.05,-3.66,138.57653962770001,4. over $50B,11,4. very persistent (10+ days)
MU,Memory and Storage,2024-10-01,99.68,1.53,13.1,2.34,4.05,-1.71,4.11,5.96,-1.84,7.97,10.96,-2.99,3.9,20.86,-16.96,112.57790929168,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2025-06-26,125.68,1.58,8.6,-2.94,4.3,-7.24,-1.07,2.38,-3.45,-11.62,10.49,-22.11,-5.55,13.46,-19.01,141.94213121768,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2025-09-22,164.36,1.52,25.2,-0.44,-2.24,1.8,16.07,3.99,12.08,25.68,7.42,18.27,42.66,16.3,26.36,185.62705829836003,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2025-10-06,190.77,1.81,16.1,0.95,2.39,-1.44,8.28,3.07,5.21,22.91,11.59,11.31,26.7,-3.04,29.74,215.45433141627,4. over $50B,7,3. persistent (6-9 days)
MU,Memory and Storage,2026-01-12,345.67,1.53,21.5,5.53,3.56,1.97,18.61,7.9,10.71,7.92,11.11,-3.2,24.04,15.87,8.16,390.39733050617,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2026-01-27,410.0,1.69,18.6,2.24,0.09,2.15,-9.02,3.28,-12.3,4.57,7.36,-2.79,2.06,2.28,-0.22,463.05119191,4. over $50B,11,4. very persistent (10+ days)
MU,Memory and Storage,2026-05-08,746.7,1.53,50.3,-2.97,0.24,-3.2,0.56,4.2,-3.64,27.11,10.01,17.1,40.84,13.47,27.36,843.3178658517,4. over $50B,1,1. brief (1-2 days)
MU,Memory and Storage,2026-05-26,895.74,1.74,12.6,18.78,9.76,9.02,4.47,-0.58,5.05,17.04,3.95,13.08,10.71,-1.6,12.3,1011.6426210767399,4. over $50B,11,4. very persistent (10+ days)
MU,Memory and Storage,2026-06-11,995.72,1.72,7.8,13.87,8.12,5.75,13.7,0.87,12.83,-5.9,-6.02,0.12,-9.59,-12.26,2.67,1124.55934831372,4. over $50B,11,4. very persistent (10+ days)
MU,Memory and Storage,2026-06-26,1132.16,1.68,13.7,-13.02,-3.03,-9.99,-17.24,-6.73,-10.5,-20.49,-12.84,-7.65,-23.95,-9.35,-14.6,1278.6537498361602,4. over $50B,8,3. persistent (6-9 days)
STX,Memory and Storage,2024-01-26,85.98,1.5,10.6,-3.23,2.86,-6.09,-1.14,9.31,-10.45,-1.97,12.78,-14.74,1.44,14.79,-13.35,19.486895657639998,3. $10B - $50B,1,1. brief (1-2 days)
